customer_id,tbl_loan_id,pseudo_disb_date,num_previous_loans,avg_time_bw_loans,avg_past_amount,avg_past_daily_burden,std_past_amount,std_past_daily_burden,trend_in_amount,trend_in_burden,Total_Amount,daily_burden,amount_ratio,burden_ratio,amount_bucket,burden_percentile,borrower_history_strength,month,quarter,week_of_year,days_to_salary_day,days_to_local_festival,account_age_days,loan_frequency_per_year,latest_amount_ma3,target
100464,217701.0,2023-07-01,0,,,,,,,,24578.0,3532.4285714285716,1.0,1.0,q4,0.9139123023013543,0.3,7,3,26,24,164,0,0.0,,0
100464,218145.0,2023-07-01,1,,24578.0,3532.4285714285716,0.0,0.0,,,10500.0,1509.0,0.42721132720318983,0.4271848586565293,q3,0.7485652050383559,0.3013157894736842,7,3,26,24,164,0,0.0,24578.0,0
100464,223488.0,2023-07-01,2,0.0,17539.0,2520.714285714286,7039.0,1011.7142857142858,-14078.000000000002,-2023.4285714285716,52210.0,7503.714285714285,2.9767945720964706,2.9768206290733916,q4,0.9749976323515485,1.119287306795324e-05,7,3,26,24,164,0,0.0,17539.0,0
100464,219087.0,2023-07-03,3,0.0,29096.0,4181.714285714285,17325.131418452984,2490.0239350815305,13816.000000000002,1985.6428571428578,20790.0,2970.0,0.7145312070387683,0.7102350368953266,q4,0.8883416990245289,0.6078809628778457,7,3,27,22,162,2,730.5,29096.0,0
100464,224668.0,2023-07-03,4,0.6666666666666666,27019.5,3878.785714285714,15429.053462542672,2219.3380896389917,3034.5999999999963,430.74285714285674,49326.0,7082.0,1.8255704213623494,1.8258291438778704,q4,0.971341983142343,0.5566121780624042,7,3,27,22,162,2,913.125,27833.333333333332,0
100464,219833.0,2023-07-04,5,0.5,31480.8,4519.428571428571,16433.421535395482,2362.638848095623,5978.6,856.0142857142856,18620.0,2660.0,0.5914716271505172,0.5885699835630296,q4,0.8722985131167724,0.6071711946912022,7,3,27,21,161,3,730.5,40775.333333333336,0
100464,220724.0,2023-07-05,6,0.6,29337.333333333332,4209.523809523809,15748.651780037835,2265.3748945149036,1579.085714285715,223.51836734693848,14510.0,2072.8571428571427,0.49459164659364635,0.492420814479638,q4,0.828411781418695,0.4746773742138208,7,3,27,20,160,4,639.1875,29578.666666666668,0
100464,221661.0,2023-07-06,7,0.6666666666666666,27219.14285714286,3904.285714285714,15476.077829333626,2226.614754578376,-601.7142857142856,-89.22959183673476,48064.0,6866.285714285715,1.7658160748212917,1.7586534943285768,q4,0.969542570319159,0.23738091255874433,7,3,27,19,159,5,584.4,27485.333333333332,0
100464,227103.0,2023-07-06,8,0.7142857142857143,29824.75,4274.535714285714,16034.172318442259,2301.669403855136,1335.9285714285725,187.34693877551044,52880.0,7554.285714285715,1.7730240823477146,1.7672763123814619,q4,0.9756226915427597,0.45664231579429576,7,3,27,19,159,5,657.45,27064.666666666668,0
100464,227873.0,2023-07-07,9,0.625,32386.444444444445,4638.952380952381,16763.854973729845,2402.383558448726,2472.166666666666,349.79285714285714,52490.0,7635.0,1.6207398156979258,1.6458457369274673,q4,0.9764561037977081,0.5424514839667501,7,3,27,18,158,6,608.75,38484.666666666664,0
100464,238779.0,2023-08-02,10,0.6666666666666666,34396.8,4938.557142857143,17008.759959503222,2449.9324900736283,2894.4969696969683,417.8155844155844,37322.0,5364.0,1.0850427946785746,1.0861471974174064,q4,0.9534141490671465,0.5663560585444174,8,3,31,23,132,32,125.5546875,51144.666666666664,0
100464,238780.0,2023-08-02,11,3.2,34662.72727272727,4977.233766233766,16239.00483454971,2339.1186955526564,2303.836363636364,332.70000000000005,7160.0,1029.142857142857,0.20656193448556218,0.20677004647133573,q3,0.6279761341036083,0.538785345108322,8,3,31,23,132,32,136.96875,47564.0,0
100464,235995.0,2023-08-04,12,2.909090909090909,32370.833333333332,4648.22619047619,17306.36860538789,2491.2297665727815,714.3846153846151,104.07342657342666,11495.0,1662.142857142857,0.355103616939117,0.3575864833231315,q4,0.7773936925845251,0.4015024361033129,8,3,31,21,130,34,139.65441176470588,32324.0,0
100464,240336.0,2023-08-04,13,2.8333333333333335,30765.0,4418.527472527473,17533.2695621342,2522.2929610628826,-126.91208791208734,-16.670329670329572,35716.0,5102.285714285715,1.1609296278238257,1.1547479892361334,q4,0.9497679704517473,0.3022137541130202,8,3,31,21,130,34,150.39705882352942,18659.0,0
100464,241400.0,2023-08-05,14,2.6153846153846154,31118.64285714286,4467.367346938775,16943.52711470474,2436.913062302283,39.927472527471856,6.1996860282572905,16450.0,2393.0,0.528622024923048,0.5356622400080402,q4,0.8559901505824415,0.3235404150615552,8,3,31,20,129,35,156.5357142857143,18123.666666666668,0
100464,246327.0,2023-08-05,15,2.5,30140.733333333334,4329.07619047619,16772.970384785425,2410.47390991595,-334.27499999999964,-46.82193877551017,58977.0,8557.57142857143,1.9567208052889666,1.976766185681318,q4,0.9815702244530732,0.27911808348848927,8,3,31,20,129,35,166.9714285714286,21220.333333333332,0
100464,251151.0,2023-09-02,16,2.3333333333333335,31943.0,4593.357142857143,17676.869890481175,2548.50971508,360.80882352941154,54.71638655462202,163163.0,23489.14285714286,5.107942272172307,5.113720123781237,q4,0.9986551756795151,0.36681813492454385,9,3,35,23,101,63,98.55952380952381,37047.666666666664,0
100464,255100.0,2023-09-07,17,3.9375,39661.82352941176,5704.873949579832,35318.19398026577,5087.274565887037,2873.615196078431,416.1025910364145,18796.0,3795.4285714285716,0.473906601547495,0.6652957812868254,q4,0.9230230135429491,0.5823025099209234,9,3,36,18,96,68,96.68382352941177,79530.0,1
